,date,Q,H,Q_ssa,H_ssa
3247,21/11/2016,2500.0,446.0,188.2097052926418,24.705095661208446
3248,22/11/2016,2480.0,444.0,91.06126840370231,12.146204776426039
3249,23/11/2016,2110.0,396.0,21.065019728866176,3.383486192151965
3250,24/11/2016,2000.0,381.0,-12.422182477749075,-0.4734572006863349
3251,25/11/2016,2140.0,400.0,-10.592039570724651,0.35759819973625184
3252,26/11/2016,2150.0,402.0,14.627322406206613,4.260851533169765
3253,27/11/2016,2260.0,415.0,50.29945727286244,9.39969166397767
3254,28/11/2016,2160.0,403.0,80.70238015854886,13.673588928167437
3255,29/11/2016,2030.0,386.0,97.44816220694678,15.894259573901795
3256,30/11/2016,2080.0,393.0,97.60646014414091,15.730128036955342
3257,1/12/2016,2040.0,387.0,75.64989577594343,12.482404157581808
3258,2/12/2016,1990.0,380.0,29.37350112203238,5.790567913027163
3259,3/12/2016,1850.0,362.0,-39.539852042001634,-4.184718090508277
3260,4/12/2016,1790.0,352.0,-119.45414282298005,-15.827082021286195
3261,5/12/2016,1430.0,302.0,-196.667747294772,-27.102914584915894
3262,6/12/2016,1310.0,283.0,-252.01455127851625,-35.287743735828926
3263,7/12/2016,1430.0,301.0,-276.30739644916156,-38.973287639270126
3264,8/12/2016,1390.0,296.0,-272.5721846849441,-38.543371626495556
3265,9/12/2016,1490.0,309.0,-246.04459029225325,-34.757408161598526
3266,10/12/2016,1550.0,318.0,-208.92641718356825,-29.38623652625921
3267,11/12/2016,1440.0,302.0,-172.44362736066614,-24.114143034579314
3268,12/12/2016,1310.0,284.0,-139.2720280675829,-19.360985470385756
3269,13/12/2016,1540.0,317.0,-108.7398336441679,-14.925883082140592
3270,14/12/2016,1460.0,306.0,-82.93648365305427,-11.056924462843458
3271,15/12/2016,1430.0,301.0,-57.2059107017207,-7.166477560048934
3272,16/12/2016,1520.0,315.0,-27.844618169286285,-2.7935277670309713
3273,17/12/2016,1670.0,335.0,5.9667534640557065,2.1322447732581846
3274,18/12/2016,1630.0,330.0,42.18901747547474,7.410155805102012
3275,19/12/2016,1440.0,303.0,81.13161368844301,13.152062529900906
3276,20/12/2016,1440.0,303.0,120.89707049661274,19.169312414438647
3277,21/12/2016,1610.0,327.0,148.9009715156818,23.83758346957883
3278,22/12/2016,1850.0,361.0,152.0625261450109,25.51042012645784
3279,23/12/2016,1820.0,356.0,120.84018129302876,22.919954123844782
3280,24/12/2016,1670.0,336.0,58.158743022863085,16.35685361085823
3281,25/12/2016,1560.0,320.0,-26.884570412087392,6.805821597268063
3282,26/12/2016,1420.0,300.0,-120.49000811782905,-4.117914730261219
3283,27/12/2016,1300.0,283.0,-208.70033622324263,-14.845561949573122
3284,28/12/2016,1210.0,268.0,-284.1873985512206,-24.712337435371403
3285,29/12/2016,1270.0,278.0,-347.83774027874034,-33.96689026987344
3286,30/12/2016,1410.0,298.0,-409.0262543339833,-43.90986354635176
3287,31/12/2016,1310.0,285.0,-477.5361933053007,-55.660496467351145
3288,1/1/2017,1340.0,258.0,-549.6471710348595,-68.38487790168803
